,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
347,0.06918239,0.14006023,0.061728403,0.41793314,0.062893085
348,0.062893085,0.17469878,0.049382716,0.41033435,0.056603767
349,0.056603767,0.20933735,0.03703703,0.4027356,0.050314464
350,0.050314464,0.24397591,0.024691358,0.3951368,0.04402516
351,0.04402516,0.27861446,0.012345687,0.38753802,0.037735857
352,0.037735857,0.31325302,0.0,0.37993923,0.091194965
353,0.091194965,0.16867469,0.074074075,0.42401218,0.14465407
354,0.14465407,0.024096385,0.14814816,0.4680851,0.13836476
355,0.13836476,0.024096385,0.13580246,0.4650456,0.13207546
356,0.13207546,0.024096385,0.12345679,0.4620061,0.14465407
357,0.14465407,0.028112449,0.13991772,0.4680851,0.1572327
358,0.1572327,0.032128513,0.15637858,0.47416413,0.16981131
359,0.16981131,0.036144577,0.17283951,0.48024318,0.37735847
360,0.37735847,0.09638554,0.32098764,0.5805471,0.20754716
361,0.20754716,0.036144577,0.13580246,0.49848026,0.35849056
362,0.35849056,0.06024096,0.25925928,0.5714286,0.19496855
363,0.19496855,0.012048192,0.08641975,0.49240124,0.18867925
364,0.18867925,0.016064256,0.08230452,0.4893617,0.18238991
365,0.18238991,0.02008032,0.07818931,0.48632222,0.17610061
366,0.17610061,0.024096385,0.074074075,0.4832827,0.1509434
367,0.1509434,0.024096385,0.11111112,0.47112465,0.10691824
368,0.10691824,0.024096385,0.08641975,0.44984806,0.14465407
369,0.14465407,0.024096385,0.117283955,0.4680851,0.18238991
370,0.18238991,0.024096385,0.14814816,0.48632222,0.14150941
371,0.14150941,0.018072292,0.10493827,0.46656537,0.100628935
372,0.100628935,0.012048192,0.061728403,0.44680852,0.13207546
373,0.13207546,0.024096385,0.09876543,0.4620061,0.2515723
374,0.2515723,0.024096385,0.12345679,0.51975685,0.08176101
375,0.08176101,0.024096385,0.11111112,0.43769,0.07861636
376,0.07861636,0.018072292,0.095679015,0.43617022,0.07547169
377,0.07547169,0.012048192,0.08024691,0.43465048,0.07232704
378,0.07232704,0.006024096,0.06481482,0.4331307,0.06918239
379,0.06918239,0.0,0.049382716,0.43161094,0.17924526
380,0.17924526,0.012048192,0.08024691,0.48480245,0.28930816
381,0.28930816,0.024096385,0.11111112,0.5379939,0.16981131
382,0.16981131,0.036144577,0.14814816,0.48024318,0.28301886
383,0.28301886,0.024096385,0.12345679,0.5349544,0.42767295
384,0.42767295,0.072289154,0.30864197,0.6048632,0.3553459
385,0.3553459,0.06626506,0.25925928,0.56990886,0.28301886
386,0.28301886,0.06024096,0.20987655,0.5349544,0.13207546
387,0.13207546,0.024096385,0.13580246,0.4620061,0.13836476
388,0.13836476,0.024096385,0.18518518,0.4650456,0.14465407
389,0.14465407,0.024096385,0.2345679,0.4680851,0.13207546
390,0.13207546,0.030120477,0.20370372,0.4620061,0.11949686
391,0.11949686,0.036144577,0.17283951,0.45592707,0.13207546
392,0.13207546,0.036144577,0.17283951,0.4620061,0.28301886
393,0.28301886,0.072289154,0.2962963,0.5349544,0.18867925
394,0.18867925,0.024096385,0.11111112,0.4893617,0.3333333
395,0.3333333,0.06024096,0.2469136,0.5592705,0.2578616
396,0.2578616,0.024096385,0.11111112,0.5227964,0.27044025
397,0.27044025,0.012048192,0.074074075,0.5288754,0.30188677
398,0.30188677,0.036144577,0.18518518,0.544073,0.27044025
399,0.27044025,0.032128513,0.15637858,0.5288754,0.2389937
400,0.2389937,0.028112449,0.12757201,0.51367784,0.20754716
401,0.20754716,0.024096385,0.09876543,0.49848026,0.37735847
402,0.37735847,0.06024096,0.2469136,0.5805471,0.30817607
403,0.30817607,0.04819277,0.20987655,0.54711246,0.28930816
404,0.28930816,0.036144577,0.2469136,0.5379939,0.26415092
405,0.26415092,0.024096385,0.12345679,0.5258359,0.2515723
406,0.2515723,0.024096385,0.12962963,0.51975685,0.2389937
407,0.2389937,0.024096385,0.13580246,0.51367784,0.19496855
408,0.19496855,0.024096385,0.12962963,0.49240124,0.1509434
409,0.1509434,0.024096385,0.12345679,0.47112465,0.10691824
410,0.10691824,0.024096385,0.117283955,0.44984806,0.062893085
411,0.062893085,0.024096385,0.11111112,0.42857146,0.22641507
412,0.22641507,0.036144577,0.16049384,0.5075988,0.23584905
413,0.23584905,0.030120477,0.20987655,0.51215804,0.24528301
414,0.24528301,0.024096385,0.25925928,0.5167173,0.37735847
415,0.37735847,0.06024096,0.20987655,0.5805471,0.31656185
416,0.31656185,0.04819277,0.18106996,0.55116516,0.2557652
417,0.2557652,0.036144577,0.15226339,0.52178323,0.19496855
418,0.19496855,0.024096385,0.12345679,0.49240124,0.42138365
419,0.42138365,0.12048192,0.03703703,0.6018237,0.46540877
420,0.46540877,0.14457831,0.024691358,0.6231003,0.27672955
421,0.27672955,0.06024096,0.2345679,0.5319149,0.5974843
422,0.5974843,0.08433735,0.34567904,0.7051672,0.5786164
423,0.5786164,0.072289154,0.30864197,0.69300914,0.5628931
424,0.5628931,0.072289154,0.28395063,0.6808511,0.5471698
425,0.5471698,0.072289154,0.25925928,0.66869307,0.24528301
426,0.24528301,0.06024096,0.27160496,0.5167173,0.25471696
427,0.25471696,0.04819277,0.24074073,0.5212766,0.26415092
428,0.26415092,0.036144577,0.20987655,0.5258359,0.21383646
429,0.21383646,0.024096385,0.13580246,0.5015198,0.28301886
430,0.28301886,0.036144577,0.16049384,0.5349544,0.18867925
431,0.18867925,0.024096385,0.13580246,0.4893617,0.10691824
432,0.10691824,0.024096385,0.14814816,0.44984806,0.18238991
433,0.18238991,0.036144577,0.16049384,0.48632222,0.13522011
